city,country,continent,lon,lat,Change_in_HW_Days,Change_in_Tmax,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Red Devil,United States of America,North America,-157.5,61.72774869,93.46405229,0,26,Dfb,"Cold, no dry season, warm summer",25,Small (<50k)
Koyukuk,United States of America,North America,-157.5,64.9865988,79.73856209,0,26,Dfb,"Cold, no dry season, warm summer",101,Small (<50k)
Koyukuk,United States of America,North America,-157.5,65,83.66013072,0,26,Dfb,"Cold, no dry season, warm summer",101,Small (<50k)
Ambler,United States of America,North America,-157.5,67.1831,88.88888889,0,26,Dfb,"Cold, no dry season, warm summer",258,Small (<50k)
Atqasuk,United States of America,North America,-157.5,70.59685394,59.47712418,0,7,BSk,"Arid, steppe, cold",201,Small (<50k)
Kobuk,United States of America,North America,-156.5625,66.85669072,73.85620915,0,26,Dfb,"Cold, no dry season, warm summer",151,Small (<50k)
Kobuk,United States of America,North America,-156.5625,66.875,50.98039216,0,26,Dfb,"Cold, no dry season, warm summer",151,Small (<50k)
Wailuku,United States of America,North America,-156.375,20.74755823,99.45355191,0,3,Aw,"Tropical, savannah",52148,Medium (50k-500k)
Wailuku,United States of America,North America,-156.375,20.74755823,99.45355191,0,3,Aw,"Tropical, savannah",52148,Medium (50k-500k)
Kailua-Kona,United States of America,North America,-155.625,19.58521861,99.45355191,0,15,Cfb,"Temperate, no dry season, warm summer",9870,Small (<50k)
Kailua-Kona,United States of America,North America,-155.625,19.58522034,99.45355191,0,15,Cfb,"Temperate, no dry season, warm summer",9870,Small (<50k)
McGrath,United States of America,North America,-155.625,63.11650191,83.00653595,0,26,Dfb,"Cold, no dry season, warm summer",138,Small (<50k)
Hilo,United States of America,North America,-155.25,19.62606908,99.45355191,0,1,Af,"Tropical, rainforest",52391,Medium (50k-500k)
Hilo,United States of America,North America,-155.25,19.62606908,99.45355191,0,1,Af,"Tropical, rainforest",52391,Medium (50k-500k)
Newhalen,United States of America,North America,-155,59.577465,94.11764706,0,15,Cfb,"Temperate, no dry season, warm summer",160,Small (<50k)
Newhalen,United States of America,North America,-155,59.84293194,94.77124183,0,26,Dfb,"Cold, no dry season, warm summer",160,Small (<50k)
Newhalen,United States of America,North America,-154.6875,59.53233673,88.23529412,0,15,Cfb,"Temperate, no dry season, warm summer",160,Small (<50k)
Allakaket,United States of America,North America,-152.5,66.43979058,87.58169935,0,26,Dfb,"Cold, no dry season, warm summer",97,Small (<50k)
Lake Minchumina,United States of America,North America,-152,63.75,69.28104575,0,26,Dfb,"Cold, no dry season, warm summer",32,Small (<50k)
Lake Minchumina,United States of America,North America,-152,63.97284012,53.59477124,0,26,Dfb,"Cold, no dry season, warm summer",32,Small (<50k)
Tanana,United States of America,North America,-152,65.25,65.35947712,0,26,Dfb,"Cold, no dry season, warm summer",308,Small (<50k)
Tanana,United States of America,North America,-151.875,65.13525103,79.73856209,0,25,Dfa,"Cold, no dry season, hot summer",308,Small (<50k)
Kenai,United States of America,North America,-150.9375,60.625,60.78431373,0,18,Dsb,"Cold, dry summer, warm summer",7610,Small (<50k)
Talkeetna,United States of America,North America,-150.46875,62.33380314,84.31372549,0,26,Dfb,"Cold, no dry season, warm summer",1078,Small (<50k)
Anchorage,United States of America,North America,-150,61.25,85.62091503,0,18,Dsb,"Cold, dry summer, warm summer",260283,Medium (50k-500k)
Montana,United States of America,North America,-150,62.112675,98.69281046,0,26,Dfb,"Cold, no dry season, warm summer",10,Small (<50k)
Montana,United States of America,North America,-150,62.18145192,66.0130719,0,26,Dfb,"Cold, no dry season, warm summer",10,Small (<50k)
Talkeetna,United States of America,North America,-150,62.25,69.93464052,0,26,Dfb,"Cold, no dry season, warm summer",1078,Small (<50k)
Talkeetna,United States of America,North America,-150,62.485569,83.66013072,0,26,Dfb,"Cold, no dry season, warm summer",1078,Small (<50k)
Talkeetna,United States of America,North America,-150,62.48557052,66.0130719,0,26,Dfb,"Cold, no dry season, warm summer",1078,Small (<50k)
Talkeetna,United States of America,North America,-150,62.5,82.35294118,0,26,Dfb,"Cold, no dry season, warm summer",1078,Small (<50k)
Wiseman,United States of America,North America,-150,67.38219895,86.92810458,0,27,Dfc,"Cold, no dry season, cold summer",14,Small (<50k)
Wiseman,United States of America,North America,-150,67.5,70.58823529,0,27,Dfc,"Cold, no dry season, cold summer",14,Small (<50k)
Seward,United States of America,North America,-149.625,59.9995185,89.54248366,0,15,Cfb,"Temperate, no dry season, warm summer",2900,Small (<50k)
Seward,United States of America,North America,-149.625,59.9995185,98.69281046,0,15,Cfb,"Temperate, no dry season, warm summer",2900,Small (<50k)
Anchorage,United States of America,North America,-149.625,61.1209913,92.15686275,0,18,Dsb,"Cold, dry summer, warm summer",260283,Medium (50k-500k)
Denali Park,United States of America,North America,-149.0625,63.73452977,82.35294118,0,27,Dfc,"Cold, no dry season, cold summer",1826,Small (<50k)
Nenana,United States of America,North America,-149.0625,64.375,49.67320261,0,18,Dsb,"Cold, dry summer, warm summer",75,Small (<50k)
Whittier,United States of America,North America,-148.75,60.78534031,96.07843137,0,27,Dfc,"Cold, no dry season, cold summer",177,Small (<50k)
Denali Park,United States of America,North America,-148.75,63.61256545,90.8496732,0,26,Dfb,"Cold, no dry season, warm summer",1826,Small (<50k)
Nenana,United States of America,North America,-148.75,64.55497382,87.58169935,0,18,Dsb,"Cold, dry summer, warm summer",75,Small (<50k)
Prudhoe Bay,United States of America,North America,-148.75,70.20942408,92.15686275,0,7,BSk,"Arid, steppe, cold",2500,Small (<50k)
Valdez,United States of America,North America,-146.25,60.93307192,86.92810458,0,27,Dfc,"Cold, no dry season, cold summer",4036,Small (<50k)
Valdez,United States of America,North America,-146.25,61,56.20915033,0,26,Dfb,"Cold, no dry season, warm summer",4036,Small (<50k)
Valdez,United States of America,North America,-146.25,61.1209913,94.77124183,0,26,Dfb,"Cold, no dry season, warm summer",4036,Small (<50k)
Valdez,United States of America,North America,-146.25,61.24640103,66.0130719,0,27,Dfc,"Cold, no dry season, cold summer",4036,Small (<50k)
Valdez,United States of America,North America,-146.25,61.25,89.54248366,0,27,Dfc,"Cold, no dry season, cold summer",4036,Small (<50k)
Big Delta,United States of America,North America,-146,63.97284012,53.59477124,0,26,Dfb,"Cold, no dry season, warm summer",591,Small (<50k)
Gulkana,United States of America,North America,-145.3125,62.18145192,71.89542484,0,18,Dsb,"Cold, dry summer, warm summer",119,Small (<50k)
Gulkana,United States of America,North America,-145.125,62.24246244,87.58169935,0,18,Dsb,"Cold, dry summer, warm summer",119,Small (<50k)
Gulkana,United States of America,North America,-145.125,62.24246244,79.08496732,0,18,Dsb,"Cold, dry summer, warm summer",119,Small (<50k)
Fort Yukon,United States of America,North America,-145.125,66.7283256,69.28104575,0,7,BSk,"Arid, steppe, cold",833,Small (<50k)
Fort Yukon,United States of America,North America,-145.125,66.7283256,70.58823529,0,7,BSk,"Arid, steppe, cold",833,Small (<50k)
Fort Yukon,United States of America,North America,-145,66.43979058,85.62091503,0,7,BSk,"Arid, steppe, cold",833,Small (<50k)
Fort Yukon,United States of America,North America,-144.84375,66.53596594,74.50980392,12.71175877,7,BSk,"Arid, steppe, cold",833,Small (<50k)
Circle,United States of America,North America,-144.375,65.92164545,67.97385621,0,7,BSk,"Arid, steppe, cold",100,Small (<50k)
Dawson City,Canada,North America,-139.6875,64.05155091,74.50980392,0,26,Dfb,"Cold, no dry season, warm summer",1319,Small (<50k)
Burwash Landing,Canada,North America,-138.75,61.24640103,66.66666667,0,18,Dsb,"Cold, dry summer, warm summer",73,Small (<50k)
Burwash Landing,Canada,North America,-138.75,61.25,79.73856209,0,18,Dsb,"Cold, dry summer, warm summer",73,Small (<50k)
Sitka,United States of America,North America,-135,57.01570681,98.69281046,0,27,Dfc,"Cold, no dry season, cold summer",8931,Small (<50k)
Sitka,United States of America,North America,-135,57.042255,91.50326797,0,15,Cfb,"Temperate, no dry season, warm summer",8931,Small (<50k)
Sitka,United States of America,North America,-135,57.20663153,98.69281046,0,15,Cfb,"Temperate, no dry season, warm summer",8931,Small (<50k)
Skagway,United States of America,North America,-135,59.3762969,63.39869281,0,27,Dfc,"Cold, no dry season, cold summer",955,Small (<50k)
Skagway,United States of America,North America,-135,59.53233673,81.04575163,0,19,Dsc,"Cold, dry summer, cold summer",955,Small (<50k)
Skagway,United States of America,North America,-135,59.577465,92.15686275,0,19,Dsc,"Cold, dry summer, cold summer",955,Small (<50k)
Whitehorse,Canada,North America,-135,60.62039593,62.74509804,0,7,BSk,"Arid, steppe, cold",23276,Small (<50k)
Whitehorse,Canada,North America,-135,60.62039948,86.92810458,0,7,BSk,"Arid, steppe, cold",23276,Small (<50k)
Whitehorse,Canada,North America,-135,60.78534031,89.54248366,0,7,BSk,"Arid, steppe, cold",23276,Small (<50k)
Whitehorse,Canada,North America,-135,60.84507,90.8496732,0,18,Dsb,"Cold, dry summer, warm summer",23276,Small (<50k)
Whitehorse,Canada,North America,-135,60.93307192,77.77777778,0,7,BSk,"Arid, steppe, cold",23276,Small (<50k)
Fort McPherson,Canada,North America,-135,67.38219895,81.69934641,0,19,Dsc,"Cold, dry summer, cold summer",1069,Small (<50k)
Fort McPherson,Canada,North America,-135,67.5,58.82352941,0,19,Dsc,"Cold, dry summer, cold summer",1069,Small (<50k)
Juneau,United States of America,North America,-134.0625,58.44124379,67.32026144,0,26,Dfb,"Cold, no dry season, warm summer",30711,Small (<50k)
Inuvik,Canada,North America,-134,68.25,40.52287582,0,27,Dfc,"Cold, no dry season, cold summer",3022,Small (<50k)
Tsiigehtchic,Canada,North America,-133.75,67.38219895,81.69934641,0,27,Dfc,"Cold, no dry season, cold summer",175,Small (<50k)
Inuvik,Canada,North America,-133.75,68.32460733,80.39215686,0,27,Dfc,"Cold, no dry season, cold summer",3022,Small (<50k)
Hydaburg,United States of America,North America,-132.5,55.13089005,98.69281046,0,15,Cfb,"Temperate, no dry season, warm summer",382,Small (<50k)
Sandspit,Canada,North America,-132.1875,53.125,88.88888889,0,15,Cfb,"Temperate, no dry season, warm summer",538,Small (<50k)
Wrangell,United States of America,North America,-132.1875,56.57113579,75.81699346,0,26,Dfb,"Cold, no dry season, warm summer",2070,Small (<50k)
Ketchikan,United States of America,North America,-131.625,55.51361398,86.2745098,0,15,Cfb,"Temperate, no dry season, warm summer",9070,Small (<50k)
Prince Rupert,Canada,North America,-130.3125,54.375,48.36601307,0,15,Cfb,"Temperate, no dry season, warm summer",14708,Small (<50k)
Dease Lake,Canada,North America,-130.3125,58.44124379,75.81699346,0,18,Dsb,"Cold, dry summer, warm summer",303,Small (<50k)
Dease Lake,Canada,North America,-130,58.30986,96.73202614,0,18,Dsb,"Cold, dry summer, warm summer",303,Small (<50k)
Watson Lake,Canada,North America,-128.75,59.84293194,86.92810458,0,26,Dfb,"Cold, no dry season, warm summer",802,Small (<50k)
Fort Good Hope,Canada,North America,-128.75,66.43979058,81.04575163,0,27,Dfc,"Cold, no dry season, cold summer",597,Small (<50k)
Terrace,Canada,North America,-128.4375,54.375,56.20915033,0,26,Dfb,"Cold, no dry season, warm summer",19443,Small (<50k)
Terrace,Canada,North America,-128.4375,54.70102573,79.08496732,0,26,Dfb,"Cold, no dry season, warm summer",19443,Small (<50k)
Bella Bella,Canada,North America,-128.25,52.14917496,90.8496732,0,15,Cfb,"Temperate, no dry season, warm summer",1400,Small (<50k)
Terrace,Canada,North America,-128.25,54.39213516,67.32026144,0,27,Dfc,"Cold, no dry season, cold summer",19443,Small (<50k)
Terrace,Canada,North America,-128.25,54.39213516,91.50326797,0,27,Dfc,"Cold, no dry season, cold summer",19443,Small (<50k)
Port Hardy,Canada,North America,-127.5,50.704224,90.19607843,0,15,Cfb,"Temperate, no dry season, warm summer",2295,Small (<50k)
Smithers,Canada,North America,-127.5,54.70102573,77.12418301,0,27,Dfc,"Cold, no dry season, cold summer",6245,Small (<50k)
Burns Lake,Canada,North America,-126,54.39213516,66.66666667,0,26,Dfb,"Cold, no dry season, warm summer",2635,Small (<50k)
Burns Lake,Canada,North America,-126,54.39213516,82.35294118,0,26,Dfb,"Cold, no dry season, warm summer",2635,Small (<50k)
Tofino,Canada,North America,-125.625,49.09068605,84.96732026,0,15,Cfb,"Temperate, no dry season, warm summer",1655,Small (<50k)
Campbell River,Canada,North America,-125.625,50,83.66013072,0,9,Csb,"Temperate, dry summer, warm summer",33430,Small (<50k)
Campbell River,Canada,North America,-125.625,50.02574349,80.39215686,0,9,Csb,"Temperate, dry summer, warm summer",33430,Small (<50k)
Courtenay,Canada,North America,-125.15625,49.72711456,76.47058824,0,9,Csb,"Temperate, dry summer, warm summer",32793,Small (<50k)
Courtenay,Canada,North America,-125,49.43662,86.2745098,0,9,Csb,"Temperate, dry summer, warm summer",32793,Small (<50k)
Courtenay,Canada,North America,-125,49.47643979,88.23529412,0,9,Csb,"Temperate, dry summer, warm summer",32793,Small (<50k)
Powell River,Canada,North America,-124.6875,50.02574349,79.73856209,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",12779,Small (<50k)
Crescent City,United States of America,North America,-124,41.51898734,42.48366013,0,9,Csb,"Temperate, dry summer, warm summer",11534,Small (<50k)
Coos Bay,United States of America,North America,-124,43.5443038,64.70588235,0,9,Csb,"Temperate, dry summer, warm summer",31976,Small (<50k)
Aberdeen,United States of America,North America,-124,47.25,61.4379085,0,9,Csb,"Temperate, dry summer, warm summer",32745,Small (<50k)
Arcata,United States of America,North America,-123.75,40.67515858,83.66013072,0,9,Csb,"Temperate, dry summer, warm summer",20905,Small (<50k)
Arcata,United States of America,North America,-123.75,40.93433832,83.66013072,0,9,Csb,"Temperate, dry summer, warm summer",20905,Small (<50k)
Arcata,United States of America,North America,-123.75,40.93433832,67.32026144,0,9,Csb,"Temperate, dry summer, warm summer",20905,Small (<50k)
Arcata,United States of America,North America,-123.75,40.9947644,87.58169935,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",20905,Small (<50k)
Arcata,United States of America,North America,-123.75,41,65.35947712,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",20905,Small (<50k)
Grants Pass,United States of America,North America,-123.75,42.5,96.07843137,0,9,Csb,"Temperate, dry summer, warm summer",46189,Small (<50k)
Grants Pass,United States of America,North America,-123.75,42.54527717,85.62091503,0,9,Csb,"Temperate, dry summer, warm summer",46189,Small (<50k)
Roseburg,United States of America,North America,-123.75,43.17730923,82.35294118,0,9,Csb,"Temperate, dry summer, warm summer",30479,Small (<50k)
Roseburg,United States of America,North America,-123.75,43.17730923,69.93464052,0,9,Csb,"Temperate, dry summer, warm summer",30479,Small (<50k)
Roseburg,United States of America,North America,-123.75,43.25419467,98.69281046,0,9,Csb,"Temperate, dry summer, warm summer",30479,Small (<50k)
Tillamook,United States of America,North America,-123.75,45.3504537,77.12418301,0,9,Csb,"Temperate, dry summer, warm summer",8145,Small (<50k)
Tillamook,United States of America,North America,-123.75,45.42027863,71.24183007,0,9,Csb,"Temperate, dry summer, warm summer",8145,Small (<50k)
Tillamook,United States of America,North America,-123.75,45.42027863,82.35294118,0,9,Csb,"Temperate, dry summer, warm summer",8145,Small (<50k)
Tillamook,United States of America,North America,-123.75,45.5248501,86.92810458,0,9,Csb,"Temperate, dry summer, warm summer",8145,Small (<50k)
Tillamook,United States of America,North America,-123.75,45.69868851,76.47058824,0,9,Csb,"Temperate, dry summer, warm summer",8145,Small (<50k)
Tillamook,United States of America,North America,-123.75,45.69869388,78.43137255,0,9,Csb,"Temperate, dry summer, warm summer",8145,Small (<50k)
Tillamook,United States of America,North America,-123.75,45.70680628,98.69281046,0,9,Csb,"Temperate, dry summer, warm summer",8145,Small (<50k)
Astoria,United States of America,North America,-123.75,46.04472663,98.69281046,0,9,Csb,"Temperate, dry summer, warm summer",10011,Small (<50k)
Aberdeen,United States of America,North America,-123.75,46.92560615,84.31372549,0,9,Csb,"Temperate, dry summer, warm summer",32745,Small (<50k)
Aberdeen,United States of America,North America,-123.75,47,57.51633987,0,9,Csb,"Temperate, dry summer, warm summer",32745,Small (<50k)
Aberdeen,United States of America,North America,-123.75,47.22057036,81.04575163,0,9,Csb,"Temperate, dry summer, warm summer",32745,Small (<50k)
Victoria,Canada,North America,-123.75,48.53403141,90.19607843,0,9,Csb,"Temperate, dry summer, warm summer",289625,Medium (50k-500k)
Doline,Canada,North America,-123.75,65.13525103,75.16339869,0,26,Dfb,"Cold, no dry season, warm summer",525,Small (<50k)
Paulatuk,Canada,North America,-123.75,69.26701571,79.73856209,0,27,Dfc,"Cold, no dry season, cold summer",294,Small (<50k)
Paulatuk,Canada,North America,-123.75,69.33737157,78.43137255,0,27,Dfc,"Cold, no dry season, cold summer",294,Small (<50k)
Santa Rosa,United States of America,North America,-122.8125,38.125,73.85620915,0,9,Csb,"Temperate, dry summer, warm summer",231792,Medium (50k-500k)
Redding,United States of America,North America,-122.8125,40.625,37.25490196,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",96058,Medium (50k-500k)
Redding,United States of America,North America,-122.8125,40.67515858,77.12418301,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",96058,Medium (50k-500k)
Medford,United States of America,North America,-122.8125,42.54527717,73.20261438,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",108525,Medium (50k-500k)
Springfield,United States of America,North America,-122.8125,44.375,39.86928105,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",51376,Medium (50k-500k)
Albany,United States of America,North America,-122.8125,44.41539505,73.85620915,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",51376,Medium (50k-500k)
Portland,United States of America,North America,-122.8125,45.3504537,71.89542484,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",1875000,Very Large (>1M)
Portland,United States of America,North America,-122.8125,45.625,37.90849673,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",525802,Large (500k-1M)
Longview,United States of America,North America,-122.8125,46.28551215,74.50980392,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",66231,Medium (50k-500k)
Olympia,United States of America,North America,-122.8125,46.875,36.60130719,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",156984,Medium (50k-500k)
Vancouver,Canada,North America,-122.8125,49.09068605,79.73856209,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",2313328,Very Large (>1M)
Vancouver,Canada,North America,-122.8125,49.375,47.05882353,0,15,Cfb,"Temperate, no dry season, warm summer",2313328,Very Large (>1M)
Quesnel,Canada,North America,-122.8125,52.83091393,74.50980392,0,26,Dfb,"Cold, no dry season, warm summer",13788,Small (<50k)
Quesnel,Canada,North America,-122.8125,53.125,44.44444444,0,26,Dfb,"Cold, no dry season, warm summer",13788,Small (<50k)
Prince George,Canada,North America,-122.8125,53.76597003,75.81699346,0,26,Dfb,"Cold, no dry season, warm summer",65558,Medium (50k-500k)
Santa Rosa,United States of America,North America,-122.625,38.69136612,80.39215686,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",231792,Medium (50k-500k)
Santa Rosa,United States of America,North America,-122.625,38.69136612,60.13071895,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",231792,Medium (50k-500k)
Medford,United States of America,North America,-122.625,42.05582395,75.16339869,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",108525,Medium (50k-500k)
Medford,United States of America,North America,-122.625,42.05582395,60.78431373,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",108525,Medium (50k-500k)
Portland,United States of America,North America,-122.625,45.42027863,53.59477124,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",1875000,Very Large (>1M)
Portland,United States of America,North America,-122.625,45.42027863,77.12418301,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",1875000,Very Large (>1M)
Centralia,United States of America,North America,-122.625,46.54176268,49.01960784,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",18880,Small (<50k)
Centralia,United States of America,North America,-122.625,46.54176268,76.47058824,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",18880,Small (<50k)
Bremerton,United States of America,North America,-122.625,47.66324626,71.24183007,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",126820,Medium (50k-500k)
Bellingham,United States of America,North America,-122.625,48.78472933,77.77777778,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",99662,Medium (50k-500k)
Bellingham,United States of America,North America,-122.625,48.78472933,52.94117647,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",99662,Medium (50k-500k)
Fort Nelson,Canada,North America,-122.625,58.87804422,72.54901961,0,26,Dfb,"Cold, no dry season, warm summer",6315,Small (<50k)
Fort Nelson,Canada,North America,-122.625,58.87804422,62.74509804,0,26,Dfb,"Cold, no dry season, warm summer",6315,Small (<50k)
Vallejo,United States of America,North America,-122.5,38.16753927,90.8496732,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",146289,Medium (50k-500k)
Redding,United States of America,North America,-122.5,40.56338,94.11764706,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",96058,Medium (50k-500k)
Vancouver,United States of America,North America,-122.5,45.633804,86.92810458,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",525802,Large (500k-1M)
Vancouver,United States of America,North America,-122.5,45.70680628,97.38562092,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",525802,Large (500k-1M)
Tacoma,United States of America,North America,-122.5,46.90141,87.58169935,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",156984,Medium (50k-500k)
Bremerton,United States of America,North America,-122.5,47.59162304,95.4248366,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",126820,Medium (50k-500k)
Everett,United States of America,North America,-122.5,48.169014,86.2745098,0,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",486903,Medium (50k-500k)
Williams Lake,Canada,North America,-122.5,51.971832,90.19607843,0,25,Dfa,"Cold, no dry season, hot summer",14168,Small (<50k)
Quesnel,Canada,North America,-122.5,53.239437,88.23529412,0,26,Dfb,"Cold, no dry season, warm summer",13788,Small (<50k)
Quesnel,Canada,North America,-122.5,53.2460733,88.23529412,0,26,Dfb,"Cold, no dry season, warm summer",13788,Small (<50k)
Fort Nelson,Canada,North America,-122.5,58.90052356,88.88888889,0,25,Dfa,"Cold, no dry season, hot summer",6315,Small (<50k)
