city,country,q10,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Siteki,eSwatini,0.956592513,32.11639,-26.196667,6,BSh,"Arid, steppe, hot",6152,Small (<50k)
Manzini,eSwatini,2.413011234,31.083332,-26.569166,3,Aw,"Tropical, savannah",9782,Small (<50k)
Beja,Portugal,0.362161452,-7.859,37.836,6,BSh,"Arid, steppe, hot",35854,Small (<50k)
Guarda,Portugal,0.846459942,-7.521,40.612,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",32111,Small (<50k)
Viseu,Portugal,0.77537825,-8.112,40.733,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",26364,Small (<50k)
Arnhem,Netherlands,2.955725964,6.151,51.684,14,Cfa,"Temperate, no dry season, hot summer",141674,Medium (50k-500k)
Maastricht,Netherlands,1.682006173,5.653654,50.589478,14,Cfa,"Temperate, no dry season, hot summer",749110,Large (500k-1M)
Ramechhap,Nepal,0.613911624,86.08,27.63,11,Cwa,"Temperate, dry winter, hot summer",15000,Small (<50k)
Bhimphedi,Nepal,4.357299837,85.14,27.86,3,Aw,"Tropical, savannah",895000,Large (500k-1M)
Qacha's Nek,South Africa,0.303232024,28.723333,-30.016666,7,BSk,"Arid, steppe, cold",25573,Small (<50k)
Suchboatar,Mongolia,1.546659698,106.12,50.63,7,BSk,"Arid, steppe, cold",18431,Small (<50k)
Omaruru,Namibia,3.29291128,16.2,-21.3,4,BWh,"Arid, desert, hot",11547,Small (<50k)
Liestal,Switzerland,0.543546062,7.8306,47.2666,14,Cfa,"Temperate, no dry season, hot summer",15501,Small (<50k)
Solothurn,Switzerland,0.543546062,7.8306,47.2666,14,Cfa,"Temperate, no dry season, hot summer",15501,Small (<50k)
Vannersborg,Sweden,0.504231298,12.3749,58.3551,15,Cfb,"Temperate, no dry season, warm summer",21835,Small (<50k)
Appenzell,Switzerland,0.866283411,9.579166,47.260834,14,Cfa,"Temperate, no dry season, hot summer",5649,Small (<50k)
Ros Comain,Ireland,1.750054075,-8.29266,53.563717,15,Cfb,"Temperate, no dry season, warm summer",4860,Small (<50k)
Al Mafraq,Jordan,7.74559797,35.88267,32.216473,6,BSh,"Arid, steppe, hot",140689,Medium (50k-500k)
Aosta,Italy,0.730908444,7.0913,46.1257,14,Cfa,"Temperate, no dry season, hot summer",28045,Small (<50k)
Diekirch,Luxembourg,1.136519933,6.098584,49.8448,14,Cfa,"Temperate, no dry season, hot summer",6242,Small (<50k)
Grevenmacher,Luxembourg,1.509972179,6.115991,49.753067,14,Cfa,"Temperate, no dry season, hot summer",6242,Small (<50k)
Mohales Hoek,Lesotho,0.104923617,27.358612,-30.33639,6,BSh,"Arid, steppe, hot",24992,Small (<50k)
Moyeni,Lesotho,0.104923617,27.358612,-30.33639,6,BSh,"Arid, steppe, hot",24992,Small (<50k)
Hlotse,Lesotho,5.496717985,28.23487,-28.69485,6,BSh,"Arid, steppe, hot",16330,Small (<50k)
Butha-Buthe,Lesotho,5.496717985,28.23487,-28.69485,6,BSh,"Arid, steppe, hot",16330,Small (<50k)
Mokhotlong,Lesotho,0.507698498,28.983334,-29.283333,12,Cwb,"Temperate, dry winter, warm summer",8809,Small (<50k)
Mandeville,Jamaica,4.122847549,-77.7568,18.0758,3,Aw,"Tropical, savannah",4229,Small (<50k)
Black River,Jamaica,4.122847549,-77.7568,18.0758,3,Aw,"Tropical, savannah",4229,Small (<50k)
Falmouth,Jamaica,4.122847549,-77.7568,18.0758,3,Aw,"Tropical, savannah",4229,Small (<50k)
Savanna-la-Mar,Jamaica,4.122847549,-77.7568,18.0758,3,Aw,"Tropical, savannah",4229,Small (<50k)
Saint Ann's Bay,Jamaica,4.968361878,-76.97837,18.042774,3,Aw,"Tropical, savannah",432704,Medium (50k-500k)
Port Maria,Jamaica,4.968361878,-76.97837,18.042774,3,Aw,"Tropical, savannah",432704,Medium (50k-500k)
Half Way Tree,Jamaica,4.968361878,-76.97837,18.042774,3,Aw,"Tropical, savannah",432704,Medium (50k-500k)
Mzimba,Malawi,1.894215141,33.416668,-12.116667,3,Aw,"Tropical, savannah",19308,Small (<50k)
Machinga,Malawi,0.768188435,35.2,-15.07,3,Aw,"Tropical, savannah",1418,Small (<50k)
Dedza,Malawi,1.557870489,34.124268,-14.179226,3,Aw,"Tropical, savannah",15608,Small (<50k)
Chiradzulu,Malawi,0.048421471,35.3,-16,3,Aw,"Tropical, savannah",16483,Small (<50k)
Nsanje,Malawi,1.572686412,35.13,-16.55,6,BSh,"Arid, steppe, hot",25235,Small (<50k)
Mulanje,Malawi,5.902668294,35.668056,-16.084723,3,Aw,"Tropical, savannah",16483,Small (<50k)
San Marcos,Guatemala,0.203463308,-92.1333,14.6833,3,Aw,"Tropical, savannah",221521,Medium (50k-500k)
Nabatiye et Tahta,Lebanon,3.564597646,35.62,33.18,6,BSh,"Arid, steppe, hot",4318,Small (<50k)
Kouvola,Finland,0.808797735,26.817465,60.69838,14,Cfa,"Temperate, no dry season, hot summer",31133,Small (<50k)
Ban Houayxay,Laos,0.044585465,100.0833,20.2733,3,Aw,"Tropical, savannah",6347,Small (<50k)
Champasak,Laos,0.010106256,105.8,15.1167,3,Aw,"Tropical, savannah",102775,Medium (50k-500k)
Muineachan,Ireland,1.542332868,-6.738051,54.409595,15,Cfb,"Temperate, no dry season, warm summer",5937,Small (<50k)
Sorø,Denmark,2.426446338,11.68963,55.29993,15,Cfb,"Temperate, no dry season, warm summer",7167,Small (<50k)
Mons,Belgium,2.148131696,4.141176,50.309193,14,Cfa,"Temperate, no dry season, hot summer",91277,Medium (50k-500k)
Hasselt,Belgium,4.652393618,4.991461,51.0026,14,Cfa,"Temperate, no dry season, hot summer",69222,Medium (50k-500k)
Qala i Naw,Afghanistan,4.379849168,63.466667,35.233334,6,BSh,"Arid, steppe, hot",2997,Small (<50k)
Chaghcharan,Afghanistan,0.000176294,65.25,34.516666,17,Dsa,"Cold, dry summer, hot summer",15000,Small (<50k)
Asadabad,Afghanistan,18.31335463,71.13333,34.9,6,BSh,"Arid, steppe, hot",48400,Small (<50k)
Taloqan,Afghanistan,0.171289006,69.46667,37.083332,6,BSh,"Arid, steppe, hot",64256,Medium (50k-500k)
Mahmud-E Eraqi,Afghanistan,0.607846296,69.28333,35.166668,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",7407,Small (<50k)
Mehtar Lam,Afghanistan,56.26274603,70.55,34.466667,4,BWh,"Arid, desert, hot",597971,Large (500k-1M)
Aybak,Afghanistan,14.76814478,67.78333,36.583332,6,BSh,"Arid, steppe, hot",24000,Small (<50k)
Kampong Spoe,Cambodia,1.696613784,104.9425,11.5833,3,Aw,"Tropical, savannah",1466000,Very Large (>1M)
Kampong Thum,Cambodia,7.645864593,104.88,12.715,3,Aw,"Tropical, savannah",19951,Small (<50k)
Prey Veng,Cambodia,1.696613784,104.9425,11.5833,3,Aw,"Tropical, savannah",1466000,Very Large (>1M)
Stoeng Treng,Cambodia,0.01243791,106.0933,13.6133,3,Aw,"Tropical, savannah",29665,Small (<50k)
Bordj Bou Arréridj,Algeria,0.002200138,4.6,36.42,6,BSh,"Arid, steppe, hot",140000,Medium (50k-500k)
Arlon,Belgium,1.509972179,6.115991,49.753067,14,Cfa,"Temperate, no dry season, hot summer",6242,Small (<50k)
Bregenz,Austria,0.596612168,9.775278,47.476944,14,Cfa,"Temperate, no dry season, hot summer",26928,Small (<50k)
Eisenstadt,Austria,0.57761059,16.474445,48.140556,14,Cfa,"Temperate, no dry season, hot summer",2400000,Very Large (>1M)
Ramallah,Palestine,25.82837685,35.55,31.84,4,BWh,"Arid, desert, hot",140689,Medium (50k-500k)
Mainz,Germany,0.665312497,7.910784,49.911575,7,BSk,"Arid, steppe, cold",184997,Medium (50k-500k)
Hradec Králové,Czechia,2.780624535,15.9067,50.0367,7,BSk,"Arid, steppe, cold",107064,Medium (50k-500k)
Mankato,United States of America,3.900131619,-94.0413,44.1111,25,Dfa,"Cold, no dry season, hot summer",56325,Medium (50k-500k)
Crookston,United States of America,2.818896363,-96.809,47.8003,25,Dfa,"Cold, no dry season, hot summer",8653,Small (<50k)
Hardin,United States of America,0.266058301,-107.469,46.1247,7,BSk,"Arid, steppe, cold",4448,Small (<50k)
Devils Lake,United States of America,18.41987833,-98.7162,47.8056,7,BSk,"Arid, steppe, cold",7813,Small (<50k)
Kennewick,United States of America,5.791403427,-118.7297,46.0276,5,BWk,"Arid, desert, cold",45150,Small (<50k)
Centralia,United States of America,0.176724236,-122.6162,46.5104,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",18880,Small (<50k)
Mendocino,United States of America,2.070530865,-123.6694,39.1721,9,Csb,"Temperate, dry summer, warm summer",548,Small (<50k)
Aurora,United States of America,1.936851421,-104.8683,39.9219,7,BSk,"Arid, steppe, cold",2313000,Very Large (>1M)
Truth or Consequences,United States of America,28.8900933,-107.2925,32.8848,4,BWh,"Arid, desert, hot",7121,Small (<50k)
Farmington,United States of America,6.332073598,-108.2256,36.7228,5,BWk,"Arid, desert, cold",43278,Small (<50k)
Springfield,United States of America,1.674995913,-122.7712,44.0698,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",56032,Medium (50k-500k)
Ontario,United States of America,0.069814868,-116.9252,44.0424,7,BSk,"Arid, steppe, cold",12187,Small (<50k)
Ottumwa,United States of America,0.222043741,-92.6569,41.3558,25,Dfa,"Cold, no dry season, hot summer",25982,Small (<50k)
Ft. Dodge,United States of America,4.886298788,-94.1919,42.7239,25,Dfa,"Cold, no dry season, hot summer",26879,Small (<50k)
Hutchinson,United States of America,9.144817164,-97.775,37.9464,14,Cfa,"Temperate, no dry season, hot summer",44477,Small (<50k)
Kansas City,United States of America,0.044776048,-94.588,39.1119,14,Cfa,"Temperate, no dry season, hot summer",1469000,Very Large (>1M)
Manhattan,United States of America,0.146182542,-96.5714,39.2372,14,Cfa,"Temperate, no dry season, hot summer",56949,Medium (50k-500k)
Independence,United States of America,0.044776048,-94.588,39.1119,14,Cfa,"Temperate, no dry season, hot summer",1469000,Very Large (>1M)
Grand Island,United States of America,0.832726971,-98.282,40.8745,14,Cfa,"Temperate, no dry season, hot summer",45651,Small (<50k)
Enid,United States of America,0.139239423,-97.9145,35.9517,14,Cfa,"Temperate, no dry season, hot summer",46138,Small (<50k)
Stillwater,United States of America,15.02368094,-96.9123,35.9859,14,Cfa,"Temperate, no dry season, hot summer",47667,Small (<50k)
Lead,United States of America,6.798624566,-103.7377,44.6908,7,BSk,"Arid, steppe, cold",2874,Small (<50k)
San Marcos,United States of America,1.962051375,-97.6508,29.6663,14,Cfa,"Temperate, no dry season, hot summer",70371,Medium (50k-500k)
Harlingen,United States of America,3.532547807,-97.52,25.9,6,BSh,"Arid, steppe, hot",181399,Medium (50k-500k)
New Braunfels,United States of America,1.514977516,-98.3836,29.8605,14,Cfa,"Temperate, no dry season, hot summer",45840,Small (<50k)
Vernon,United States of America,29.85480077,-99.1428,33.7601,6,BSh,"Arid, steppe, hot",11660,Small (<50k)
Carora,Venezuela,0.0004447,-69.9,10.2,6,BSh,"Arid, steppe, hot",149711,Medium (50k-500k)
New London,United States of America,13.43584375,-71.8331,41.3837,14,Cfa,"Temperate, no dry season, hot summer",96178,Medium (50k-500k)
Waterbury,United States of America,1.735804145,-73.1676,41.384,14,Cfa,"Temperate, no dry season, hot summer",174236,Medium (50k-500k)
Springfield,United States of America,3.447141563,-72.6873,41.9115,14,Cfa,"Temperate, no dry season, hot summer",913000,Large (500k-1M)
Salem,United States of America,1.502708452,-71.2984,42.6459,14,Cfa,"Temperate, no dry season, hot summer",723629,Large (500k-1M)
Port Charlotte,United States of America,3.351499482,-81.8759,27.2223,2,Am,"Tropical, monsoon",64279,Medium (50k-500k)
Palatka,United States of America,8.453919062,-81.804,29.5086,14,Cfa,"Temperate, no dry season, hot summer",21452,Small (<50k)
Lake City,United States of America,5.669495623,-82.7151,29.8488,14,Cfa,"Temperate, no dry season, hot summer",29395,Small (<50k)
Crestview,United States of America,2.909111641,-86.6291,30.753,14,Cfa,"Temperate, no dry season, hot summer",22403,Small (<50k)
Panama City,United States of America,1.535799542,-85.8983,30.451,14,Cfa,"Temperate, no dry season, hot summer",100072,Medium (50k-500k)
Meridian,United States of America,0.192364605,-88.9092,32.3261,14,Cfa,"Temperate, no dry season, hot summer",42290,Small (<50k)
Galesburg,United States of America,0.189590876,-90.2801,40.7073,14,Cfa,"Temperate, no dry season, hot summer",32094,Small (<50k)
Rockford,United States of America,3.662936503,-88.9987,42.1945,14,Cfa,"Temperate, no dry season, hot summer",255978,Medium (50k-500k)
Rock Island,United States of America,0.1042146,-90.5349,41.767,14,Cfa,"Temperate, no dry season, hot summer",255738,Medium (50k-500k)
Richmond,United States of America,0.111830415,-85.158,39.5795,14,Cfa,"Temperate, no dry season, hot summer",44400,Small (<50k)
Lafayette,United States of America,1.305785159,-86.897,40.422,14,Cfa,"Temperate, no dry season, hot summer",133977,Medium (50k-500k)
South Bend,United States of America,5.44340704,-86.2597,41.8292,14,Cfa,"Temperate, no dry season, hot summer",239822,Medium (50k-500k)
New Albany,United States of America,2.511423878,-86.2283,38.2376,14,Cfa,"Temperate, no dry season, hot summer",120625,Medium (50k-500k)
Elkhart,United States of America,11.87994994,-85.8486,41.5934,14,Cfa,"Temperate, no dry season, hot summer",149190,Medium (50k-500k)
London,United States of America,0.044328074,-84.1583,36.744,14,Cfa,"Temperate, no dry season, hot summer",7844,Small (<50k)
Salisbury,United States of America,1.266286688,-80.3869,35.8567,14,Cfa,"Temperate, no dry season, hot summer",41352,Small (<50k)
Durham,United States of America,1.756821718,-79.1158,35.6274,14,Cfa,"Temperate, no dry season, hot summer",309495,Medium (50k-500k)
Lumberton,United States of America,0.066321118,-78.8239,34.8349,14,Cfa,"Temperate, no dry season, hot summer",243306,Medium (50k-500k)
Springfield,United States of America,0.054675567,-84.0302,39.5834,14,Cfa,"Temperate, no dry season, hot summer",773000,Large (500k-1M)
Blacksburg,United States of America,1.148751601,-80.7456,36.9376,14,Cfa,"Temperate, no dry season, hot summer",67508,Medium (50k-500k)
Petersburg,United States of America,1.9359812,-77.4753,37.2252,14,Cfa,"Temperate, no dry season, hot summer",118577,Medium (50k-500k)
La Crosse,United States of America,0.030282009,-91.2874,44.0602,25,Dfa,"Cold, no dry season, hot summer",32897,Small (<50k)
White Sulphur Springs,United States of America,2.407189623,-80.1306,38.186,14,Cfa,"Temperate, no dry season, hot summer",2407,Small (<50k)
Clarksburg,United States of America,0.01812835,-80.0387,39.1504,14,Cfa,"Temperate, no dry season, hot summer",28773,Small (<50k)
Poughkeepsie,United States of America,3.433454244,-74.1651,41.6862,14,Cfa,"Temperate, no dry season, hot summer",170996,Medium (50k-500k)
Plattsburgh,United States of America,3.029714063,-73.0726,44.6792,25,Dfa,"Cold, no dry season, hot summer",93807,Medium (50k-500k)
Altoona,United States of America,2.677901884,-78.0189,40.4848,14,Cfa,"Temperate, no dry season, hot summer",78607,Medium (50k-500k)
Allentown,United States of America,0.45397604,-75.6516,40.2418,14,Cfa,"Temperate, no dry season, hot summer",496442,Medium (50k-500k)
Calais,United States of America,2.910009065,-67.3175,45.1367,25,Dfa,"Cold, no dry season, hot summer",3306,Small (<50k)
Benton Harbor,United States of America,5.44340704,-86.2597,41.8292,14,Cfa,"Temperate, no dry season, hot summer",239822,Medium (50k-500k)
Battle Creek,United States of America,11.91764037,-85.1975,42.3239,14,Cfa,"Temperate, no dry season, hot summer",70820,Medium (50k-500k)
Bay City,United States of America,2.323263888,-84.2355,43.5953,14,Cfa,"Temperate, no dry season, hot summer",68549,Medium (50k-500k)
Mataró,Spain,1.457206184,2.200589,41.4506,6,BSh,"Arid, steppe, hot",4920000,Very Large (>1M)
Chur,Switzerland,0.40974636,9.4825,46.8439,14,Cfa,"Temperate, no dry season, hot summer",38293,Small (<50k)
Borlänge,Sweden,5.553199396,15.01,60.6,15,Cfb,"Temperate, no dry season, warm summer",39422,Small (<50k)
Västerås,Sweden,1.809357077,16.4692,59.673,15,Cfb,"Temperate, no dry season, warm summer",107194,Medium (50k-500k)
Makiyivka,Ukraine,1.958911087,38.144722,48.15333,7,BSk,"Arid, steppe, cold",396885,Medium (50k-500k)
Horlivka,Ukraine,1.958911087,38.144722,48.15333,7,BSk,"Arid, steppe, cold",396885,Medium (50k-500k)
Khujayli,Uzbekistan,0.624390958,59.7,42.28,5,BWk,"Arid, desert, cold",230006,Medium (50k-500k)
Ituni,Guyana,6.257030117,-58.53,5.31,1,Af,"Tropical, rainforest",100,Small (<50k)
Greenock,United Kingdom,1.297078537,-4.575982,55.98877,15,Cfb,"Temperate, no dry season, warm summer",74635,Medium (50k-500k)
Sunderland,United Kingdom,0.758081308,-1.589675,54.73389,15,Cfb,"Temperate, no dry season, warm summer",452934,Medium (50k-500k)
Southampton,United Kingdom,6.622625576,-1.497098,50.968075,9,Csb,"Temperate, dry summer, warm summer",384417,Medium (50k-500k)
Bournemouth,United Kingdom,1.890514815,-1.842094,50.763897,9,Csb,"Temperate, dry summer, warm summer",426945,Medium (50k-500k)
Omagh,United Kingdom,0.52935235,-7.459843,54.810352,15,Cfb,"Temperate, no dry season, warm summer",83652,Medium (50k-500k)
Chester,United Kingdom,0.652963979,-2.971887,52.966515,15,Cfb,"Temperate, no dry season, warm summer",89531,Medium (50k-500k)
Swansea,United Kingdom,0.523669923,-4.201464,51.86314,15,Cfb,"Temperate, no dry season, warm summer",294339,Medium (50k-500k)
Carlisle,United Kingdom,0.247301336,-2.95286,54.904903,15,Cfb,"Temperate, no dry season, warm summer",72633,Medium (50k-500k)
Muğla,Turkey,0.757481494,28.12,37.42,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",48183,Small (<50k)
Rize,Turkey,1.944239833,40.4929,40.813534,14,Cfa,"Temperate, no dry season, hot summer",279450,Medium (50k-500k)
Eumseong,South Korea,0.536000554,127.6475,37.296112,11,Cwa,"Temperate, dry winter, hot summer",243387,Medium (50k-500k)
Cheongju,South Korea,0.198045732,127.12639,36.46361,11,Cwa,"Temperate, dry winter, hot summer",1468000,Very Large (>1M)
Wonju,South Korea,0.536000554,127.6475,37.296112,11,Cwa,"Temperate, dry winter, hot summer",243387,Medium (50k-500k)
Southend-on-Sea,United Kingdom,0.062730207,0.44696,51.25087,15,Cfb,"Temperate, no dry season, warm summer",618386,Large (500k-1M)
Reading,United Kingdom,5.624929591,-1.066946,51.43274,15,Cfb,"Temperate, no dry season, warm summer",369804,Medium (50k-500k)
Sheffield,United Kingdom,0.988205389,-1.474993,52.92817,15,Cfb,"Temperate, no dry season, warm summer",825600,Large (500k-1M)
Szombathely,Hungary,1.320490786,16.462223,47.059723,14,Cfa,"Temperate, no dry season, hot summer",109518,Medium (50k-500k)
Székesfehérvár,Hungary,7.165831054,18.1409,46.8825,7,BSk,"Arid, steppe, cold",62023,Medium (50k-500k)
Nyíregyháza,Hungary,0.650432004,21.6916,48.3567,7,BSk,"Arid, steppe, cold",176880,Medium (50k-500k)
Oradea,Romania,3.418006943,21.7946,47.2787,7,BSk,"Arid, steppe, cold",213830,Medium (50k-500k)
Sibiu,Romania,0.47315442,24.299444,45.385,14,Cfa,"Temperate, no dry season, hot summer",107558,Medium (50k-500k)
Covilhã,Portugal,0.846459942,-7.521,40.612,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",32111,Small (<50k)
Finnsnes,Norway,0.738617,17.88,68.88,26,Dfb,"Cold, no dry season, warm summer",3907,Small (<50k)
Banská Bystrica,Slovakia,0.987293539,19.13,48.73,14,Cfa,"Temperate, no dry season, hot summer",82336,Medium (50k-500k)
Rēzekne,Latvia,1.885414304,27.436296,56.51155,14,Cfa,"Temperate, no dry season, hot summer",38340,Small (<50k)
Lalitpur,Nepal,4.357299837,85.14,27.86,3,Aw,"Tropical, savannah",895000,Large (500k-1M)
Kolpino,Russia,17.19926313,30.529444,59.837223,14,Cfa,"Temperate, no dry season, hot summer",225801,Medium (50k-500k)
Naberezhnyye Chelny,Russia,0.759355536,52.42889,55.75611,25,Dfa,"Cold, no dry season, hot summer",461086,Medium (50k-500k)
Partizansk,Russia,18.09281174,133.35625,43.48125,21,Dwa,"Cold, dry winter, hot summer",42489,Small (<50k)
Kholmsk,Russia,54.40033085,142.22292,46.95625,25,Dfa,"Cold, no dry season, hot summer",32911,Small (<50k)
Juchitan,Mexico,6.275254132,-95.3292,16.425,6,BSh,"Arid, steppe, hot",42776,Small (<50k)
Paraíso,Mexico,0.533919572,-93.1833,17.9583,2,Am,"Tropical, monsoon",428564,Medium (50k-500k)
Balancán,Mexico,0.050510493,-91.4833,17.4333,2,Am,"Tropical, monsoon",32415,Small (<50k)
Nautla,Mexico,3.733033464,-97.0283,20.0617,2,Am,"Tropical, monsoon",2890,Small (<50k)
Opole,Poland,0.646321547,17.675,50.761944,14,Cfa,"Temperate, no dry season, hot summer",131412,Medium (50k-500k)
Shannon,Ireland,2.296349263,-8.974654,52.87004,15,Cfb,"Temperate, no dry season, warm summer",8781,Small (<50k)
Waterford,Ireland,1.426176801,-6.950884,52.540756,15,Cfb,"Temperate, no dry season, warm summer",21589,Small (<50k)
Irbid,Jordan,7.74559797,35.88267,32.216473,6,BSh,"Arid, steppe, hot",140689,Medium (50k-500k)
As Salt,Jordan,7.74559797,35.88267,32.216473,6,BSh,"Arid, steppe, hot",140689,Medium (50k-500k)
Az Zarqa,Jordan,7.74559797,35.88267,32.216473,6,BSh,"Arid, steppe, hot",140689,Medium (50k-500k)
Como,Italy,0.334403447,9.0093,46.1938,14,Cfa,"Temperate, no dry season, hot summer",16572,Small (<50k)
Chaozhou,China,0.006472631,116.42667,23.285278,3,Aw,"Tropical, savannah",1601000,Very Large (>1M)
Annecy,France,0.511333896,5.9707,46.153,14,Cfa,"Temperate, no dry season, hot summer",1240000,Very Large (>1M)
Roanne,France,1.141828896,4.076413,46.47489,14,Cfa,"Temperate, no dry season, hot summer",73315,Medium (50k-500k)
May Pen,Jamaica,4.968361878,-76.97837,18.042774,3,Aw,"Tropical, savannah",432704,Medium (50k-500k)
Spanish Town,Jamaica,4.968361878,-76.97837,18.042774,3,Aw,"Tropical, savannah",432704,Medium (50k-500k)
Girardot,Colombia,1.37409111,-74.5,4,1,Af,"Tropical, rainforest",130289,Medium (50k-500k)
Cartago,Colombia,0.230090704,-75.88,4.88,1,Af,"Tropical, rainforest",134827,Medium (50k-500k)
San Gabriel,Ecuador,25.00396697,-78.21167,0.375833,3,Aw,"Tropical, savannah",146741,Medium (50k-500k)
Bielefeld,Germany,1.369051404,8.670932,52.13342,14,Cfa,"Temperate, no dry season, hot summer",331906,Medium (50k-500k)
Dortmund,Germany,0.823882893,7.581097,51.435986,14,Cfa,"Temperate, no dry season, hot summer",588462,Large (500k-1M)
Duisburg,Germany,0.864020296,6.85115,51.67386,14,Cfa,"Temperate, no dry season, hot summer",1742135,Very Large (>1M)
Wuppertal,Germany,0.867890697,7.2,50.85,14,Cfa,"Temperate, no dry season, hot summer",680543,Large (500k-1M)
Essen,Germany,0.864020296,6.85115,51.67386,14,Cfa,"Temperate, no dry season, hot summer",1742135,Very Large (>1M)
Karlsruhe,Germany,1.579181947,8.729503,48.89706,14,Cfa,"Temperate, no dry season, hot summer",377487,Medium (50k-500k)
Kassel,Germany,0.558886331,9.498,51.193,14,Cfa,"Temperate, no dry season, hot summer",289924,Medium (50k-500k)
Oldenburg,Germany,3.306954157,8.473615,52.82849,14,Cfa,"Temperate, no dry season, hot summer",724909,Large (500k-1M)
Erfurt,Germany,1.618838938,11.33351,50.716568,14,Cfa,"Temperate, no dry season, hot summer",104712,Medium (50k-500k)
Karlovac,Croatia,0.620290149,15.4555,45.8644,14,Cfa,"Temperate, no dry season, hot summer",55063,Medium (50k-500k)
Coburg,Germany,0.492128394,10.873488,49.951164,14,Cfa,"Temperate, no dry season, hot summer",61054,Medium (50k-500k)
Augsburg,Germany,0.544816697,10.875078,48.04152,14,Cfa,"Temperate, no dry season, hot summer",358989,Medium (50k-500k)
Fürth,Germany,0.857761878,10.941275,49.83419,14,Cfa,"Temperate, no dry season, hot summer",237844,Medium (50k-500k)
Liberec,Czechia,0.926911713,15.2744,50.6399,14,Cfa,"Temperate, no dry season, hot summer",102175,Medium (50k-500k)
Chemnitz,Germany,1.071697173,13.020026,50.88617,14,Cfa,"Temperate, no dry season, hot summer",302643,Medium (50k-500k)
